id	subject	predicate	object	relation	knowledge_source
urn:uuid:8ed4696a-9028-4aa1-b590-518dca3c12f7	1361540	biolink:related_to	1361614	biolink:related_to	bolt://localhost:7687
urn:uuid:294be425-ad0e-4377-aeb6-5747824ab978	1361540	biolink:related_to	1361615	biolink:related_to	bolt://localhost:7687
urn:uuid:9ed619c9-2d89-4766-a759-cff8e3cfa5eb	1361540	biolink:related_to	1361616	biolink:related_to	bolt://localhost:7687
urn:uuid:d1e33863-3097-403a-b146-02fb770fd27a	1361540	biolink:related_to	1361617	biolink:related_to	bolt://localhost:7687
urn:uuid:39936d46-8cc0-4eec-a7ed-c9bc129ccae8	1361540	biolink:related_to	1361618	biolink:related_to	bolt://localhost:7687
urn:uuid:6959d034-b984-42e6-b18b-f8226112eaf2	1361540	biolink:related_to	1361619	biolink:related_to	bolt://localhost:7687
urn:uuid:b93f1116-a30b-4582-b91f-09f663482c39	1361540	biolink:related_to	1361620	biolink:related_to	bolt://localhost:7687
urn:uuid:968da03a-0647-451f-8d50-9a8152ad87b1	1361540	biolink:related_to	1361621	biolink:related_to	bolt://localhost:7687
urn:uuid:ba556e10-c781-44bf-a87d-cc251ba31d8a	1361540	biolink:related_to	1361622	biolink:related_to	bolt://localhost:7687
urn:uuid:d17df6b5-015f-41db-9423-63fe57e8077e	1361554	biolink:related_to	1361662	biolink:related_to	bolt://localhost:7687
urn:uuid:c0ca56d7-a9ad-4f32-b321-271a402cd4f5	244688	biolink:related_to	1361539	biolink:related_to	bolt://localhost:7687
urn:uuid:5baab522-1e81-46b6-8ffd-77fa40b0cadd	1361539	biolink:related_to	1361593	biolink:related_to	bolt://localhost:7687
urn:uuid:f32dc1bc-cadc-4764-9b0a-625a7f8c81be	1361539	biolink:related_to	1361594	biolink:related_to	bolt://localhost:7687
urn:uuid:1ad0d94b-826d-479c-9a5c-b96464cb886b	1361539	biolink:related_to	1361595	biolink:related_to	bolt://localhost:7687
urn:uuid:2fa94037-6159-4c18-8e8c-5640ff85218b	1361539	biolink:related_to	1361596	biolink:related_to	bolt://localhost:7687
urn:uuid:30e8dbe7-0aa5-4a4b-99eb-8afe5426c657	244693	biolink:related_to	1361542	biolink:related_to	bolt://localhost:7687
urn:uuid:48824633-6397-46d3-924e-1fc4c2ac51d3	244698	biolink:related_to	1361542	biolink:related_to	bolt://localhost:7687
urn:uuid:fb317c3a-b5f9-49cc-a80c-f3c78d2f4f39	244703	biolink:related_to	1361550	biolink:related_to	bolt://localhost:7687
urn:uuid:af545a36-26bd-41bd-a7a5-e9c162b566cf	244706	biolink:related_to	1361550	biolink:related_to	bolt://localhost:7687
urn:uuid:b4a5d1d7-0d28-4b6a-a229-b42c5dfcf4ad	244715	biolink:related_to	1361550	biolink:related_to	bolt://localhost:7687
urn:uuid:b8b563b2-f583-47ef-b323-83bc06009727	244720	biolink:related_to	1361550	biolink:related_to	bolt://localhost:7687
urn:uuid:1119c621-8e8a-4808-8858-556e8fd05639	244725	biolink:related_to	1361553	biolink:related_to	bolt://localhost:7687
urn:uuid:3b550785-d4c8-40f2-b2d6-50e9e886a468	1361553	biolink:related_to	1361661	biolink:related_to	bolt://localhost:7687
urn:uuid:dc638124-248b-4977-a9e4-b4cb82154cc8	244731	biolink:related_to	1361555	biolink:related_to	bolt://localhost:7687
urn:uuid:18b9c92e-3323-4eac-a2d3-aa135ebb4477	244734	biolink:related_to	1361574	biolink:related_to	bolt://localhost:7687
urn:uuid:c7119800-ed8f-4e46-a93b-bc8d19622311	244736	biolink:related_to	1361574	biolink:related_to	bolt://localhost:7687
urn:uuid:f40ee041-6911-4f3f-8add-c85f3b38d4df	244738	biolink:related_to	1361583	biolink:related_to	bolt://localhost:7687
urn:uuid:689c8ce3-55a6-4660-bacc-887f70040e64	244741	biolink:related_to	1361583	biolink:related_to	bolt://localhost:7687
urn:uuid:b83be0a5-22e2-4acc-9152-9001a27a5966	356145	biolink:related_to	356503	biolink:related_to	bolt://localhost:7687
urn:uuid:55b144b2-eafe-4e39-b829-e6c9e5d7f48d	356503	biolink:related_to	357146	biolink:related_to	bolt://localhost:7687
urn:uuid:489655a6-2c91-4bed-8022-510147f365a6	356503	biolink:related_to	356145	biolink:related_to	bolt://localhost:7687
urn:uuid:7b5cc641-5dad-42c4-b704-25fc14afd3b0	356503	biolink:related_to	356186	biolink:related_to	bolt://localhost:7687
urn:uuid:6aba7d16-d2e2-4255-94b5-634a09aea25a	356503	biolink:related_to	356418	biolink:related_to	bolt://localhost:7687
urn:uuid:b047004c-7777-4564-a98d-b480df4722a3	356503	biolink:related_to	356876	biolink:related_to	bolt://localhost:7687
